city,street,price_pln,size_m2,rooms,floor,detail_url,image_url,year_built,market,heating,total_floors,intercom,basement,furnished,elevator,parking_space,gated_property,balcony,terrace,garden,longitude,latitude
Gdańsk,Ogarna,1099000,65.0,4,4.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-ogarna-65m2-mzn2045849514,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbW9yemUvZi9tb3J6ZV9tc19QQU45NzE5MzdfMS5qcGcjdj0xXzM4MTA2Mjk5NDk=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-65-m.jpg,1950,wtórny,C.O. miejskie,5,1,1,0,1,1,0,0,0,0,18.6521642,54.3476429
Gdańsk,Przyokopowa,749000,59.0,3,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-przyokopowa-59m2-mzn2043290030,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvZXN0YXRpYy8yL2VzdGF0aWNfbXNfT044Njc4ODNfMS5qcGcjdj0xXzM4MDAxNTU3OTk=/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-59-m.jpg,1990,wtórny,C.O. gazowe,4,1,1,0,0,1,0,0,0,0,18.6533,54.33993
Gdańsk,Wolności,539000,57.0,3,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-nowy-port-wolnosci-57m2-mzn2045818809,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbzY2MTM4L2YvbzY2MTM4X21zX0pHTjIzMDExNF8xLmpwZyN2PTFfMzc4Mzk5NDkwMQ==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-nowy-port-57-m.jpg,1905,wtórny,C.O. gazowe,3,1,1,0,0,0,0,0,0,0,18.66775,54.3997
Gdańsk,Wrzeszcz Dolny,312440,25.0,1,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-25m2-mzn2046103417,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvem0wMzA3MTcvNS96bTAzMDcxN19tc183NTAlMjUyRjU5NTIlMjUyRk9NU18xLmpwZyN2PTFfMzc2Nzg1ODg5Mw==/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-wrzeszcz-25-m.jpg,2026,pierwotny,-1,6,0,0,0,1,0,0,0,0,0,18.61527673,54.38345581
Gdańsk,Wrzeszcz Dolny,403932,32.0,2,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-32m2-mzn2046103391,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvem0wMzA3MTcvNy96bTAzMDcxN19tc183NDklMjUyRjU5NTIlMjUyRk9NU18xLmpwZyN2PTFfMzc2NzgzMTk5Nw==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-32-m.jpg,2026,pierwotny,-1,6,0,0,0,1,0,0,0,0,0,18.61527673,54.38345581
Gdańsk,Śródmieście,918367,70.0,4,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-70m2-mzn2046081372,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvem0wMzA3MTcvNi96bTAzMDcxN19tc183NDMlMjUyRjU5NTIlMjUyRk9NU18xLmpwZyN2PTFfMzgwMjM5MzE3Ng==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-70-m.jpg,2025,pierwotny,-1,6,0,0,0,1,1,0,0,0,0,18.65574,54.351678
Gdańsk,Wrzeszcz Górny,537400,37.0,2,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-37m2-mzn2046062229,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvem0wMzA3MTcvNS96bTAzMDcxN19tc183MzklMjUyRjU5NTIlMjUyRk9NU18xLmpwZyN2PTFfMzgwMjQwMjUzMw==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-37-m.jpg,2025,pierwotny,-1,6,0,0,0,1,1,0,0,0,0,18.6091245,54.3754013
Gdańsk,Wrzeszcz Górny,618564,44.0,2,2.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-44m2-mzn2046062297,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvem0wMzA3MTcvMS96bTAzMDcxN19tc183NDAlMjUyRjU5NTIlMjUyRk9NU18xLmpwZyN2PTFfMzgwOTQ0Njg5OQ==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-44-m.jpg,2025,pierwotny,-1,6,0,0,0,1,1,0,0,0,0,18.6091245,54.3754013
Gdańsk,Wrzeszcz,874431,60.0,4,0.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-60m2-mzn2045855127,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvem0wMzA3MTcvYy96bTAzMDcxN19tc183MTMlMjUyRjU5NTIlMjUyRk9NU18xLmpwZyN2PTFfMzgwOTA0NTQwNQ==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-60-m.jpg,2025,pierwotny,C.O. miejskie,6,0,0,0,1,1,0,0,0,0,18.5964,54.3782
Gdańsk,Śródmieście,306857,26.0,1,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-26m2-mzn2045942943,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvem0wMzA3MTcvZi96bTAzMDcxN19tc183MzYlMjUyRjU5NTIlMjUyRk9NU18xLmpwZyN2PTFfMzc5ODc3MDYxNw==/3x2_xs:fill_and_crop/kawalerka-na-sprzedaz-gdansk-srodmiescie-26-m.jpg,2025,pierwotny,-1,4,0,0,0,1,0,0,0,0,0,18.65574,54.351678
Gdańsk,Młyniska,394193,33.0,2,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-mlyniska-33m2-mzn2045943809,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvem0wMzA3MTcvYi96bTAzMDcxN19tc183MzclMjUyRjU5NTIlMjUyRk9NU18xLmpwZyN2PTFfMzc0ODc5Mzg3Mg==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-mlyniska-33-m.jpg,2026,pierwotny,-1,6,0,0,0,0,1,0,0,0,0,18.646846,54.372184
Gdańsk,Wrzeszcz Dolny,578406,52.0,3,1.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-wrzeszcz-52m2-mzn2045888113,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvem0wMzA3MTcvNi96bTAzMDcxN19tc183MjYlMjUyRjU5NTIlMjUyRk9NU18xLmpwZyN2PTFfMzc4Mjg4MzYxNQ==/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-wrzeszcz-52-m.jpg,2026,pierwotny,C.O. miejskie,6,0,0,0,1,1,0,0,0,0,18.61527673,54.38345581
Gdańsk,Mariana Seredyńskiego,1950000,117.0,5,3.0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-mariana-seredynskiego-117m2-mzn2044030468,https://img1.staticmorizon.com.pl/thumb/aHR0cDovL21lZGlhLmRvbXkucGwvaW1nL3pkamVjaWEvbmVzdC8wL25lc3RfbXNfNjAwNzQ3XzEuanBnI3Y9MV8zODExMjUyMjUw/3x2_xs:fill_and_crop/mieszkanie-na-sprzedaz-gdansk-srodmiescie-117-m.jpg,2000,wtórny,-1,3,0,1,0,0,1,0,1,0,0,18.66604,54.34929
